resource_id	revision	sha256	size_bytes	source_url	server_path
node-linux-x64	24.18.0	55aa7153f9d88f28d765fcdad5ae6945b5c0f98a36881703817e4c450fa76742	31511588	https://nodejs.org/dist/v24.18.0/node-v24.18.0-linux-x64.tar.xz	/var/lib/substation/downloads/node/24.18.0/node-v24.18.0-linux-x64.tar.xz
yolo11n-base	v8.4.0	0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1	5613764	https://github.com/ultralytics/assets/releases/download/v8.4.0/yolo11n.pt	/var/lib/substation/models/base/0ebbc80d4a7680d14987a577cd21342b65ecfd94632bd9a8da63ae6417644ee1/yolo11n.pt
